system,dataset_size,pattern_name,pattern,success,correctness_matches_pandas,execution_time_seconds,execution_time_std_seconds,execution_time_min_seconds,execution_time_max_seconds,measured_runs,throughput_rows_per_second,query_memory_mb,query_memory_metric,footprint_memory_mb,footprint_memory_metric,result_rows,error
trino_473,400000,optional_pattern,A+ B? C*,True,True,0.5253474814498986,0.022540180031333384,0.48947393099842884,0.5689471400000912,20,761400.813983244,5.590343379974366,Trino per-query peakMemoryBytes MB,10813.44,Docker container peak memory MB,52950,
trino_473,400000,complex_nested,"(A|B)+ (C{1,3} D*)+",True,True,1.2904647122001733,0.09528364282121003,1.2207390410003427,1.6447189580012491,20,309965.85665486456,8.140446281433105,Trino per-query peakMemoryBytes MB,10826.752,Docker container peak memory MB,32360,
trino_473,800000,simple_sequence,A+ B+,True,True,1.383099402949847,0.14468349963371324,1.2311068769995472,1.6543096019995573,20,578411.065968054,13.523531198501587,Trino per-query peakMemoryBytes MB,12791.808,Docker container peak memory MB,66330,
trino_473,800000,alternation,A (B|C)+ D,True,True,1.1135082898000292,0.03149450768435536,1.0609744230005163,1.18173139099963,20,718449.9723335414,13.5913001537323,Trino per-query peakMemoryBytes MB,13083.135999999999,Docker container peak memory MB,9782,
trino_473,800000,quantified,"A{1,5} B* C+",True,True,1.4278171557998576,0.029938240432474655,1.3849384220011416,1.5018963530001201,20,560295.8311226084,13.555660152435303,Trino per-query peakMemoryBytes MB,13103.104000000001,Docker container peak memory MB,32804,
trino_473,800000,optional_pattern,A+ B? C*,True,True,0.999418096500176,0.024998551411077402,0.9554193259991735,1.0800942620007845,20,800465.793846929,13.495276641845702,Trino per-query peakMemoryBytes MB,13107.2,Docker container peak memory MB,99214,
trino_473,800000,complex_nested,"(A|B)+ (C{1,3} D*)+",True,True,4.938925533049769,0.05388089038052703,4.86433374400076,5.072608865000802,20,161978.55072862434,13.679946136474609,Trino per-query peakMemoryBytes MB,13118.976,Docker container peak memory MB,58616,
trino_473,1600000,simple_sequence,A+ B+,True,True,2.650133682499836,0.12021645898544575,2.493711938999695,2.870752545000869,20,603743.1283431487,28.640965843200682,Trino per-query peakMemoryBytes MB,17451.008,Docker container peak memory MB,130338,
trino_473,1600000,alternation,A (B|C)+ D,True,True,2.275592055099969,0.04110091614602301,2.214775501999611,2.3682617180002126,20,703113.7221692007,28.630519104003906,Trino per-query peakMemoryBytes MB,17590.272,Docker container peak memory MB,20276,
trino_473,1600000,quantified,"A{1,5} B* C+",True,True,2.8507878758998233,0.08990978760826852,2.765233010999509,3.2060660930001177,20,561248.3529645206,28.641795921325684,Trino per-query peakMemoryBytes MB,17593.856,Docker container peak memory MB,67358,
trino_473,1600000,optional_pattern,A+ B? C*,True,True,2.0329586834996918,0.021651166242820732,2.00192699299987,2.0718526179989567,20,787030.259388074,28.62189636230469,Trino per-query peakMemoryBytes MB,17602.56,Docker container peak memory MB,197253,
trino_473,1600000,complex_nested,"(A|B)+ (C{1,3} D*)+",True,True,11.088256490849925,0.08320544955122451,10.925975109001229,11.263090196000121,20,144296.8063843334,28.741911315917967,Trino per-query peakMemoryBytes MB,17610.752,Docker container peak memory MB,119299,
trino_473,2222742,simple_sequence,A+ B+,True,True,3.705941813949994,0.1149050734616323,3.5883613509977295,3.9551015999986703,20,599777.9003526451,41.42211399078369,Trino per-query peakMemoryBytes MB,23737.856,Docker container peak memory MB,181147,
trino_473,2222742,alternation,A (B|C)+ D,True,True,3.2394759185499424,0.05848493319955964,3.1259976559995266,3.3828478750001523,20,686142.4674503973,41.41128692626953,Trino per-query peakMemoryBytes MB,23808.0,Docker container peak memory MB,28776,
trino_473,2222742,quantified,"A{1,5} B* C+",True,True,4.011041699450106,0.03966539635706415,3.922521015996608,4.089542432000599,20,554155.7945669641,41.422051429748535,Trino per-query peakMemoryBytes MB,23815.68,Docker container peak memory MB,95650,
trino_473,2222742,optional_pattern,A+ B? C*,True,True,2.948221347800245,0.08881453358364316,2.883139335001033,3.3065100730018457,20,753926.4314935015,41.401788330078126,Trino per-query peakMemoryBytes MB,23818.24,Docker container peak memory MB,276776,
trino_473,2222742,complex_nested,"(A|B)+ (C{1,3} D*)+",True,True,13.825922218800406,0.13032320350607304,13.577981919002923,14.063620322001952,20,160766.27401950295,41.52575035095215,Trino per-query peakMemoryBytes MB,23828.48,Docker container peak memory MB,167641,
