start_row,end_row,match_length
38880,38883,4
38958,38962,5
39037,39039,3
39049,39061,13
39080,39082,3
39128,39130,3
39176,39178,3
39197,39199,3
39243,39245,3
39304,39306,3
39407,39409,3
39452,39454,3
39474,39483,10
39512,39516,5
39564,39568,5
39631,39633,3
39637,39639,3
39648,39650,3
39812,39814,3
39840,39845,6
39893,39895,3
39997,40000,4
40197,40199,3
40294,40297,4
40363,40368,6
40389,40392,4
40404,40406,3
40431,40433,3
40434,40437,4
40501,40503,3
40514,40516,3
40613,40617,5
40685,40687,3
40756,40759,4
40776,40778,3
40810,40813,4
40825,40828,4
40913,40917,5
40991,40993,3
41033,41035,3
41045,41047,3
41085,41088,4
41137,41140,4
41185,41189,5
41244,41246,3
41251,41256,6
41296,41300,5
41309,41312,4
41348,41350,3
41403,41405,3
41439,41452,14
41545,41548,4
41554,41556,3
41571,41578,8
41640,41643,4
41711,41713,3
41787,41789,3
41812,41815,4
41857,41861,5
41867,41869,3
41887,41890,4
41918,41920,3
41939,41943,5
42010,42012,3
42050,42053,4
42067,42070,4
42189,42192,4
42196,42198,3
42273,42275,3
42288,42290,3
42304,42308,5
42405,42410,6
42483,42485,3
42508,42512,5
42545,42548,4
42593,42597,5
42629,42631,3
42679,42681,3
42705,42709,5
42718,42723,6
42761,42766,6
42779,42782,4
42823,42827,5
42867,42871,5
42895,42903,9
42919,42922,4
42982,42984,3
43023,43027,5
43029,43038,10
43054,43057,4
43206,43208,3
43212,43219,8
43302,43311,10
43328,43332,5
43448,43451,4
43468,43472,5
43509,43511,3
43547,43551,5
43574,43576,3
43594,43597,4
43599,43601,3
43651,43655,5
43700,43702,3
43715,43720,6
43746,43750,5
43786,43790,5
43852,43857,6
43911,43914,4
43917,43923,7
43932,43934,3
43986,43989,4
43994,43996,3
44053,44058,6
44095,44097,3
44137,44142,6
44150,44156,7
44199,44201,3
44242,44244,3
44323,44329,7
44384,44388,5
44400,44403,4
44432,44434,3
44437,44441,5
44481,44490,10
44515,44517,3
44520,44523,4
44535,44537,3
44549,44551,3
44600,44602,3
44652,44655,4
44724,44731,8
44736,44740,5
44777,44780,4
44798,44804,7
44815,44817,3
44860,44863,4
44930,44933,4
44951,44953,3
45046,45052,7
45079,45081,3
45146,45150,5
45170,45172,3
45194,45198,5
45207,45209,3
45231,45234,4
45502,45505,4
45552,45559,8
45627,45629,3
45753,45755,3
45781,45784,4
45788,45795,8
45880,45884,5
45925,45929,5
46118,46121,4
46185,46190,6
46225,46231,7
46248,46250,3
46318,46322,5
46403,46405,3
46437,46439,3
46457,46461,5
46612,46614,3
46616,46620,5
46638,46640,3
46672,46674,3
46683,46685,3
46770,46772,3
46780,46782,3
46827,46830,4
47051,47054,4
47171,47174,4
47189,47191,3
47249,47251,3
47261,47263,3
47274,47276,3
47304,47306,3
47317,47321,5
47336,47338,3
47347,47349,3
47366,47368,3
47475,47478,4
47557,47559,3
47567,47569,3
47693,47696,4
47879,47881,3
47883,47886,4
48020,48024,5
48207,48209,3
48215,48217,3
48447,48449,3
48704,48706,3
48878,48880,3
48946,48951,6
48955,48962,8
48991,48993,3
49007,49010,4
49074,49076,3
49192,49194,3
49207,49212,6
49294,49299,6
49328,49330,3
49350,49352,3
49367,49370,4
49373,49376,4
49393,49398,6
49582,49587,6
49683,49688,6
49696,49702,7
49705,49707,3
49759,49762,4
49868,49872,5
49891,49894,4
49903,49907,5
49985,49990,6
